domain	intent	utterance	bio
Wikipedia	OpenWikipedia	abre de wikipedia	o o o
Wikipedia	OpenWikipedia	abre páginas de wikipedia	o o o o
Wikipedia	OpenWikipedia	abre definiciones de wikipedia	o o o o
Wikipedia	SearchQuery	busca emma watson en wiki	o b-query i-query o o
Wikipedia	SearchQuery	busca willow smith en wiki	o b-query i-query o o
Wikipedia	SearchQuery	busca literatura de américa latina en wiki	o b-query i-query i-query i-query o o
Wikipedia	SearchQuery	busca lista de programas de unix en wiki	o b-query i-query i-query i-query i-query o o
Wikipedia	SearchQuery	busca choques étnicos de târgu mureş en wiki	o b-query i-query i-query i-query i-query o o
Wikipedia	SearchQuery	busca otras localidades de yucatán en wiki	o b-query i-query i-query i-query o o
Wikipedia	SearchQuery	busca evelyn matthei fornet en wiki	o b-query i-query i-query o o
Wikipedia	SearchQuery	busca elecciones de cantabria en wiki	o b-query i-query i-query o o
Wikipedia	SearchQuery	busca ateneo de lengua y cultura guaraní en wiki	o b-query i-query i-query i-query i-query i-query o o
Wikipedia	SearchQuery	busca escala heptatónica en wiki	o b-query i-query o o
Wikipedia	SearchQuery	busca of mice and men en wiki	o b-query i-query i-query i-query o o
Wikipedia	SearchQuery	busca magdalena piñera morel en wiki	o b-query i-query i-query o o
Wikipedia	SearchQuery	busca parábolas de jesús en wiki	o b-query i-query i-query o o
Wikipedia	SearchQuery	busca territorio dependiente en wikipedia	o b-query i-query o o
Wikipedia	SearchQuery	busca educación en wikipedia	o b-query o o
Wikipedia	SearchQuery	busca ashlynn brooke en wikipedia	o b-query i-query o o
Wikipedia	SearchQuery	busca plan nacional de desarrollo colombia en wikipedia	o b-query i-query i-query i-query i-query o o
Wikipedia	SearchQuery	busca sículo en wikipedia	o b-query o o
Wikipedia	SearchQuery	busca metallica en wikipedia	o b-query o o
Wikipedia	SearchQuery	busca roberto ampuero espinoza en wikipedia	o b-query i-query i-query o o
Wikipedia	SearchQuery	busca ronald mallett en wikipedia	o b-query i-query o o
Wikipedia	SearchQuery	busca dubai en wikipedia	o b-query o o
Wikipedia	SearchQuery	busca mark wahlberg en wikipedia	o b-query i-query o o
Wikipedia	SearchQuery	busca editores de texto en wikipedia	o b-query i-query i-query o o
Wikipedia	SearchQuery	busca michelle castro en wikipedia	o b-query i-query o o
Wikipedia	SearchQuery	busca país sículo en wikipedia	o b-query i-query o o
Wikipedia	SearchQuery	busca as cazallas en wikipedia	o b-query i-query o o
Wikipedia	SearchQuery	busca kama sutra en wikipedia	o b-query i-query o o
