domain	intent	utterance	bio
Translate	SetDefaultLanguage	establece el idioma a italiano	o o o o b-all_lang
Translate	SetDefaultLanguage	establece el idioma de traducción a francés	o o o o o o b-all_lang
Translate	SetDefaultLanguage	establece el idioma de la traducción a inglés	o o o o o o o b-all_lang
Translate	SetDefaultLanguage	establece el idioma de salida a japonés	o o o o o o b-all_lang
Translate	SetDefaultLanguage	establece el idioma de la salida a ruso	o o o o o o o b-all_lang
Translate	SetDefaultLanguage	establece el idioma estándar a polaco	o o o o o b-all_lang
Translate	SetDefaultLanguage	establece el idioma estándar de traducción a alemán	o o o o o o o b-all_lang
Translate	SetDefaultLanguage	establece el idioma estándar de la traducción a español	o o o o o o o o b-all_lang
Translate	SetDefaultLanguage	establece el idioma estándar de salida a tailandés	o o o o o o o b-all_lang
Translate	SetDefaultLanguage	cambia el idioma de traducción a esperanto	o o o o o o b-all_lang
Translate	SetDefaultLanguage	cambia el idioma de la traducción a turco	o o o o o o o b-all_lang
Translate	SetDefaultLanguage	cambia el idioma de salida a greco	o o o o o o b-all_lang
Translate	SetDefaultLanguage	cambia el idioma de la salida a mongol	o o o o o o o b-all_lang
Translate	SetDefaultLanguage	cambia el idioma estándar a hawaiano	o o o o o b-all_lang
Translate	SetDefaultLanguage	cambia el idioma estándar de traducción a hindi	o o o o o o o b-all_lang
Translate	SetDefaultLanguage	cambia el idioma estándar de la traducción a islandés	o o o o o o o o b-all_lang
Translate	SetDefaultLanguage	cambia el idioma estándar de salida a italiano	o o o o o o o b-all_lang
Translate	SetDefaultLanguage	cambia el idioma estándar de la salida a francés	o o o o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	establece el idioma a inglés	o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	establece el idioma de entrada a japonés	o o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	establece el idioma estándar a ruso	o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	cambia el idioma de entrada a español	o o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	cambia el idioma estándar a tailandés	o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	cambia el idioma estándar de entrada a checo	o o o o o o o b-all_lang
Translate	TranslateText	traducción de do you have this in my size	o o b-text.en i-text.en i-text.en i-text.en i-text.en i-text.en i-text.en
Translate	TranslateText	cuál es la traducción de can you change a traveller's check for me	o o o o o b-text.en i-text.en i-text.en i-text.en i-text.en i-text.en i-text.en i-text.en
Translate	TranslateText	la traducción de do you have anything quieter	o o o b-text.en i-text.en i-text.en i-text.en i-text.en
Translate	TranslateText	traduce take me there please	o b-text.en i-text.en i-text.en i-text.en
Translate	TranslateText	traducción de what is your name	o o b-text.en i-text.en i-text.en i-text.en
Translate	TranslateText	cómo decir dark	o o b-text.en
Translate	TranslateText	cómo digo i lost my bag	o o b-text.en i-text.en i-text.en i-text.en
Translate	TranslateText	cómo se traduce ok i'll take it	o o o b-text.en i-text.en i-text.en i-text.en
Translate	TranslateText	cómo traducir i am an american citizen	o o b-text.en i-text.en i-text.en i-text.en i-text.en
Translate	TranslateText	cómo traduzco i don't want it	o o b-text.en i-text.en i-text.en i-text.en
Translate	TranslateTextToLanguage	traducción de west a polaco	o o b-text.en o b-trg_lang
Translate	TranslateTextToLanguage	cuál es la traducción de can i look at the menu please a alemán	o o o o o b-text.en i-text.en i-text.en i-text.en i-text.en i-text.en i-text.en o b-trg_lang
Translate	TranslateTextToLanguage	la traducción de bus and train a español	o o o b-text.en i-text.en i-text.en o b-trg_lang
Translate	TranslateTextToLanguage	traducción de i don't understand a checo	o o b-text.en i-text.en i-text.en o b-trg_lang
Translate	TranslateTextToLanguage	la traducción de that's too expensive a finlandés	o o o b-text.en i-text.en i-text.en o b-trg_lang
Translate	TranslateTextToLanguage	traduce a polaco red	o o b-trg_lang b-text.en
Translate	TranslateTextToLanguage	i've been injured en alemán	b-text.en i-text.en i-text.en o b-trg_lang
Translate	TranslateTextToLanguage	white traducido a español	b-text.en o o b-trg_lang
Translate	TranslateTextToLanguage	cómo se dice can i have a bag in tailandés	o o o b-text.en i-text.en i-text.en i-text.en i-text.en o b-trg_lang
Translate	TranslateTextToLanguage	cómo decir i need toothpaste in checo	o o b-text.en i-text.en i-text.en o b-trg_lang
Translate	TranslateTextToLanguage	cómo digo excuse me waiter in finlandés	o o b-text.en i-text.en i-text.en o b-trg_lang
Translate	TranslateTextToLanguage	cómo se traduce can you change money for me in polaco	o o o b-text.en i-text.en i-text.en i-text.en i-text.en i-text.en o b-trg_lang
Translate	TranslateTextToLanguage	cómo traducir saturday in alemán	o o b-text.en o b-trg_lang
Translate	TranslateTextToLanguage	cómo traduzco where is the toilet in español	o o b-text.en i-text.en i-text.en i-text.en o b-trg_lang
Translate	TranslateTextToLanguage	di en tailandés is breakfast included	o o b-trg_lang b-text.en i-text.en i-text.en
Translate	TranslateTextFromLanguageToLanguage	traduce TRANSLATE.SLOT.TEXT a polaco de fránces	o o o b-trg_lang o b-src_lang
Translate	TranslateTextFromLanguageToLanguage	traducción de TRANSLATE.SLOT.TEXT de inglés a alemán	o o o o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	traducción de TRANSLATE.SLOT.TEXT a español de japonés	o o o o b-trg_lang o b-src_lang
Translate	TranslateTextFromLanguageToLanguage	la traducción de TRANSLATE.SLOT.TEXT de russo a tailandés	o o o o o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	la traducción de TRANSLATE.SLOT.TEXT a checo de italiano	o o o o o b-trg_lang o b-src_lang
Translate	TranslateTextFromLanguageToLanguageWithEngine	traducción de TRANSLATE.SLOT.TEXT de fránces a finlandés con yandex	o o o o b-src_lang o b-trg_lang o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	traducción de TRANSLATE.SLOT.TEXT de inglés a polaco usando google	o o o o b-src_lang o b-trg_lang o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	traducción de TRANSLATE.SLOT.TEXT a alemán de japonés con microsoft	o o o o b-trg_lang o b-src_lang o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	la traducción de TRANSLATE.SLOT.TEXT de fránces a checo usando google	o o o o o b-src_lang o b-trg_lang o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	la traducción de TRANSLATE.SLOT.TEXT a finlandés de inglés con microsoft	o o o o o b-trg_lang o b-src_lang o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	la traducción de TRANSLATE.SLOT.TEXT a polaco de japonés usando deepl	o o o o o b-trg_lang o b-src_lang o b-translator
Translate	TranslateToLanguage	traduce a alemán	o o b-trg_lang
Translate	TranslateToLanguage	traduce a español	o o b-trg_lang
Translate	TranslateToLanguage	traduce a tailandés	o o b-trg_lang
Translate	TranslateToLanguage	traduce a checo	o o b-trg_lang
Translate	TranslateToLanguage	una traducción a alemán	o o o b-trg_lang
Translate	TranslateToLanguage	una traducción a español	o o o b-trg_lang
Translate	TranslateToLanguage	una traducción a tailandés	o o o b-trg_lang
Translate	TranslateToLanguage	una traducción a checo	o o o b-trg_lang
Translate	TranslateToLanguage	traducción a finlandés	o o b-trg_lang
Translate	TranslateToLanguage	traducción a polaco	o o b-trg_lang
Translate	TranslateToLanguage	traducción a alemán	o o b-trg_lang
Translate	TranslateToLanguage	traducción a español	o o b-trg_lang
Translate	TranslateTextFromLanguage	traduce italiano frase TRANSLATE.SLOT.TEXT	o b-src_lang o o
Translate	TranslateTextFromLanguage	traduce fránces la frase TRANSLATE.SLOT.TEXT	o b-src_lang o o o
Translate	TranslateTextFromLanguage	traducción de TRANSLATE.SLOT.TEXT de inglés	o o o o b-src_lang
Translate	TranslateTextFromLanguage	traducción de japonés frase TRANSLATE.SLOT.TEXT	o o b-src_lang o o
Translate	TranslateTextFromLanguage	traducción de russo la frase TRANSLATE.SLOT.TEXT	o o b-src_lang o o o
Translate	TranslateTextFromLanguage	la traducción de TRANSLATE.SLOT.TEXT de italiano	o o o o o b-src_lang
Translate	TranslateTextFromLanguage	la traducción de fránces frase TRANSLATE.SLOT.TEXT	o o o b-src_lang o o
Translate	TranslateTextFromLanguage	la traducción de inglés la frase TRANSLATE.SLOT.TEXT	o o o b-src_lang o o o
Translate	DetectLanguage	idioma de i want to rent a car	o o b-text.multi i-text.multi i-text.multi i-text.multi i-text.multi i-text.multi
Translate	DetectLanguage	el idioma de adiós	o o o b-text.multi
Translate	DetectLanguage	idioma en que sausage	o o o b-text.multi
Translate	DetectLanguage	idioma en que julio está escrito	o o o b-text.multi o o
Translate	DetectLanguage	idioma en el que i need postage stamps	o o o o b-text.multi i-text.multi i-text.multi i-text.multi
Translate	DetectLanguage	el idioma en que today está escrito	o o o o b-text.multi o o
Translate	DetectLanguage	el idioma en el que lunch	o o o o o b-text.multi
Translate	DetectLanguage	el idioma en el que mille está escrito	o o o o o b-text.multi o o
Translate	DetectLanguage	detecta idioma de je ne suis pas intéressé	o o o b-text.multi i-text.multi i-text.multi i-text.multi i-text.multi
Translate	DetectLanguage	detecta el idioma de le quattordici	o o o o b-text.multi i-text.multi
Translate	DetectLanguage	detecta en qué idioma benzin	o o o o b-text.multi
Translate	DetectLanguage	detecta en qué idioma buona notte está escrito	o o o o b-text.multi i-text.multi o o
