domain	intent	utterance	bio
Translate	SetDefaultLanguage	set language to italian	o o o b-all_lang
Translate	SetDefaultLanguage	set translation language to french	o o o o b-all_lang
Translate	SetDefaultLanguage	set output language to english	o o o o b-all_lang
Translate	SetDefaultLanguage	set default language to japanease	o o o o b-all_lang
Translate	SetDefaultLanguage	set default translation language to russian	o o o o o b-all_lang
Translate	SetDefaultLanguage	change translation language to spanish	o o o o b-all_lang
Translate	SetDefaultLanguage	change output language to thai	o o o o b-all_lang
Translate	SetDefaultLanguage	change default language to czech	o o o o b-all_lang
Translate	SetDefaultLanguage	change default translation language to finnish	o o o o o b-all_lang
Translate	SetDefaultLanguage	change default output language to esperanto	o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	set input language to turkish	o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	set source language to greek	o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	set default input language to mongolian	o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	change source language to icelandic	o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	change default input language to italian	o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	change default source language to french	o o o o o b-all_lang
Translate	TranslateText	translation of do you have this in my size	o o b-text i-text i-text i-text i-text i-text i-text
Translate	TranslateText	what is the translation of can you change a traveller's check for me	o o o o o b-text i-text i-text i-text i-text i-text i-text i-text
Translate	TranslateText	translate take me there please	o b-text i-text i-text i-text
Translate	TranslateText	translation of what is your name	o o b-text i-text i-text i-text
Translate	TranslateText	the translation of in the afternoon	o o o b-text i-text i-text
Translate	TranslateText	how do i say january	o o o o b-text
Translate	TranslateText	how do i translate dark	o o o o b-text
Translate	TranslateText	how do you translate ok i'll take it	o o o o b-text i-text i-text i-text
Translate	TranslateTextToLanguage	translation of i am an american citizen to polish	o o b-text i-text i-text i-text i-text o b-trg_lang
Translate	TranslateTextToLanguage	what is the translation of i don't want it to german	o o o o o b-text i-text i-text i-text o b-trg_lang
Translate	TranslateTextToLanguage	the translation of west to spanish	o o o b-text o b-trg_lang
Translate	TranslateTextToLanguage	translate can i look at the menu please into thai	o b-text i-text i-text i-text i-text i-text i-text o b-trg_lang
Translate	TranslateTextToLanguage	translate bus and train to czech	o b-text i-text i-text o b-trg_lang
Translate	TranslateTextToLanguage	translation of i don't understand to polish	o o b-text i-text i-text o b-trg_lang
