Translate__	SetDefaultLanguage__	set language to italian 	 o o o b-all_lang
Translate__	SetDefaultLanguage__	set translation language to french 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	set output language to english 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	set default language to japanease 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	set default translation language to russian 	 o o o o o b-all_lang
Translate__	SetDefaultLanguage__	set default output language to polish 	 o o o o o b-all_lang
Translate__	SetDefaultLanguage__	change language to german 	 o o o b-all_lang
Translate__	SetDefaultLanguage__	change translation language to spanish 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	change output language to thai 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	change default language to czech 	 o o o o b-all_lang
Translate__	SetDefaultLanguage__	change default translation language to finnish 	 o o o o o b-all_lang
Translate__	SetDefaultLanguage__	change default output language to esperanto 	 o o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	set input language to turkish 	 o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	set source language to greek 	 o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	set default input language to mongolian 	 o o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	set default source language to hawaiian 	 o o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	change input language to hindi 	 o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	change source language to icelandic 	 o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	change default input language to italian 	 o o o o o b-all_lang
Translate__	SetDefaultLanguageToLanguage__	change default source language to french 	 o o o o o b-all_lang
Translate__	TranslateText__	translation of do you have this in my size 	 o o b-text_en i-text_en i-text_en i-text_en i-text_en i-text_en i-text_en
Translate__	TranslateText__	what is the translation of can you change a traveller's check for me 	 o o o o o b-text_en i-text_en i-text_en i-text_en i-text_en i-text_en i-text_en i-text_en
Translate__	TranslateText__	the translation of do you have anything quieter 	 o o o b-text_en i-text_en i-text_en i-text_en i-text_en
Translate__	TranslateText__	translate take me there please 	 o b-text_en i-text_en i-text_en i-text_en
Translate__	TranslateText__	translation of what is your name 	 o o b-text_en i-text_en i-text_en i-text_en
Translate__	TranslateText__	the translation of in the afternoon 	 o o o b-text_en i-text_en i-text_en
Translate__	TranslateText__	how do i say january 	 o o o o b-text_en
Translate__	TranslateText__	how do i translate dark 	 o o o o b-text_en
